PUBLICATION,EXTRACT_DATE,TYPE,CCG_CODE,ONS_CCG_CODE,CODE,POSTCODE,SEX,AGE,NUMBER_OF_PATIENTS,AS_PERCENT,NO_OF_APPTS
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81084,BS4 2QJ,ALL,ALL,11179,1.08%,4359
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81085,BS20 0DL,ALL,ALL,6693,0.65%,2610
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81086,BS40 5EL,ALL,ALL,44484,4.30%,17345
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81087,BS16 3TD,ALL,ALL,11210,1.08%,4371
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81089,BS2 0AN,ALL,ALL,9670,0.93%,3771
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81090,BS6 6DF,ALL,ALL,16278,1.57%,6347
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81091,BS8 2PU,ALL,ALL,16806,1.62%,6553
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81094,BS4 1WH,ALL,ALL,6706,0.65%,2615
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81095,BS4 1WH,ALL,ALL,6827,0.66%,2662
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81098,BS10 6AF,ALL,ALL,8823,0.85%,3440
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81103,BS35 2AT,ALL,ALL,8067,0.78%,3146
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81106,BS35 1DP,ALL,ALL,5319,0.51%,2074
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81112,BS7 9EG,ALL,ALL,51,0.00%,20
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81117,BS35 4JF,ALL,ALL,4417,0.43%,1722
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81118,BS34 8UE,ALL,ALL,16847,1.63%,6569
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81120,BS4 4HU,ALL,ALL,8274,0.80%,3226
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81125,BS4 2DF,ALL,ALL,8947,0.86%,3489
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81127,BS32 4DS,ALL,ALL,5565,0.54%,2170
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81130,BS30 8HS,ALL,ALL,11624,1.12%,4532
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81131,BS9 4HT,ALL,ALL,10780,1.04%,4203
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81133,BS6 6AU,ALL,ALL,21199,2.05%,8266
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81600,BS20 7QA,ALL,ALL,9911,0.96%,3865
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81622,BS9 1JN,ALL,ALL,4773,0.46%,1861
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81632,BS16 7AL,ALL,ALL,11733,1.13%,4575
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81642,BS37 5UY,ALL,ALL,3136,0.30%,1223
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81643,BS22 6AJ,ALL,ALL,15476,1.50%,6034
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81648,BS5 6SA,ALL,ALL,5181,0.50%,2020
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81649,BS32 9DS,ALL,ALL,17762,1.72%,6926
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81669,BS7 0UE,ALL,ALL,7804,0.75%,3043
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,L81670,BS23 3SJ,ALL,ALL,5680,0.55%,2215
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,Y00400,BS2 8HW,ALL,ALL,2,0.00%,1
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,Y02578,BS1 3EA,ALL,ALL,11163,1.08%,4353
GP_PRAC_PAT_LIST,43800,GP,15C,E38000222,Y02873,BS2 8JP,ALL,ALL,4,0.00%,2
